city,year,weekofyear,total_cases
iq,2011,14,7
iq,2011,15,5
iq,2011,16,5
iq,2011,17,5
iq,2011,18,7
iq,2011,19,4
iq,2011,20,4
iq,2011,21,4
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,4
iq,2011,39,4
iq,2011,40,4
iq,2011,41,4
iq,2011,42,5
iq,2011,43,4
iq,2011,44,4
iq,2011,45,4
iq,2011,46,5
iq,2011,47,4
iq,2011,48,4
iq,2011,49,4
iq,2011,50,4
iq,2011,51,4
iq,2012,52,6
iq,2012,1,7
iq,2012,2,7
iq,2012,3,6
iq,2012,4,6
iq,2012,5,7
iq,2012,6,7
iq,2012,7,6
iq,2012,8,5
iq,2012,9,5
iq,2012,10,6
iq,2012,11,4
iq,2012,12,4
iq,2012,13,7
iq,2012,14,4
iq,2012,15,6
iq,2012,16,5
iq,2012,17,4
iq,2012,18,5
iq,2012,19,4
iq,2012,20,4
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,4
iq,2012,34,4
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,4
iq,2012,40,4
iq,2012,41,4
iq,2012,42,4
iq,2012,43,5
iq,2012,44,4
iq,2012,45,4
iq,2012,46,6
iq,2012,47,5
iq,2012,48,5
iq,2012,49,4
iq,2012,50,5
iq,2012,51,6
iq,2013,1,8
iq,2013,2,5
iq,2013,3,5
iq,2013,4,8
iq,2013,5,5
iq,2013,6,8
iq,2013,7,7
iq,2013,8,7
iq,2013,9,5
iq,2013,10,5
iq,2013,11,7
iq,2013,12,8
iq,2013,13,7
iq,2013,14,6
iq,2013,15,5
iq,2013,16,6
iq,2013,17,6
iq,2013,18,4
iq,2013,19,5
iq,2013,20,5
iq,2013,21,4
iq,2013,22,4
iq,2013,23,4
iq,2013,24,4
iq,2013,25,4
iq,2013,26,4
